"""Valores Recolhidos por Distribuidora - Art. 3º da Lei 8.685/93 - Em Reais (R$) - 2002 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Estrangeira Representada""";"""Empresa Brasileira """;"""Valor (R$)"""
"""2008""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""1543500"""
"""2008""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""4084876,22"""
"""2008""";"""TF1 INTERNATIONAL""";"""ANTONIO FERNANDES FILMES LTDA""";"""40083,5"""
"""2008""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""2117648,17"""
"""2008""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""1983343,88"""
"""2008""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""368978,71"""
"""2008""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1995000"""
"""2008""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""VIDEOLAR S/A""";"""69037,5"""
"""2008""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""1412211,89"""
"""2008""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""2087553,38"""
"""2008""";"""WARNER HOME VIDEO (BENELUX) BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""1561548,96"""
"""2007""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1489,84"""
"""2007""";"""BAVARIA MEDIA GMBH/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3271,97"""
"""2007""";"""BORSALINO SARL""";"""VIDEOLAR S/A""";"""23439,38"""
"""2007""";"""BUENA VISTA INTERNATIONAL, INC""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1059753,76"""
"""2007""";"""BUENA VISTA INTERNATIONAL, INC""";"""VIDEOLAR S/A""";"""7067578,78"""
"""2007""";"""CELLULOID DREAMS SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""9159,06"""
"""2007""";"""CELLULOID DREAMS SAS""";"""ANTONIO FERNANDES FILMES LTDA""";"""52280,23"""
"""2007""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""150420,36"""
"""2007""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""VIDEOLAR S/A""";"""412053,07"""
"""2007""";"""DOWNTOWN FILMES C.V.""";"""FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.""";"""17916,36"""
"""2007""";"""EBA FILMS INTERNATIONAL LTD""";"""EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A""";"""5680,5"""
"""2007""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3807,51"""
"""2007""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""ANTONIO FERNANDES FILMES LTDA""";"""6609,64"""
"""2007""";"""FORTISSIMO FILM SALES B.V.""";"""ART FILMS S/A""";"""3521,95"""
"""2007""";"""FREEWAY ENTERTAINMENT KFT""";"""CANNES PRODUÇÕES S/A""";"""90985,58"""
"""2007""";"""FREEWAY ENTERTAINMENT KFT""";"""VIDEOLAR S/A""";"""942980,15"""
"""2007""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""3135901,74"""
"""2007""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOLAR S/A""";"""99274"""
"""2007""";"""GEM ENTERTAINMENT KFT""";"""MARES FILMES LTDA""";"""5516,12"""
"""2007""";"""GEM ENTERTAINMENT KFT""";"""SWEN ENTRETENIMENTOS LTDA""";"""11288,21"""
"""2007""";"""GEM ENTERTAINMENT KFT""";"""NEW STAR DISTRIBUIDORA DE FILMES LTDA.""";"""31509,88"""
"""2007""";"""GEM ENTERTAINMENT KFT""";"""LW EDITORA DISTRIBUIDORA E ASSESSORIA DE COMUNICAÇÃO LTDA""";"""42020,53"""
"""2007""";"""GEM ENTERTAINMENT KFT""";"""RJ PUBLICIDADE E DISTRIBUIÇÃO DE FITAS LTDA""";"""132414,38"""
"""2007""";"""GEM ENTERTAINMENT KFT""";"""SONOPRESS - RIMO DA AMAZÔNIA INDÚSTRIA E COMÉRCIO FONOGRÁFICA LTDA""";"""1059131,92"""
"""2007""";"""GEWILAND CORPORATION S.A.""";"""CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE""";"""40926,66"""
"""2007""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""1292742,41"""
"""2007""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""CANNES PRODUÇÕES S/A""";"""54474,47"""
"""2007""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""VIDEOLAR S/A""";"""154191,31"""
"""2007""";"""LEDA FILMS S.A.""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""24982,45"""
"""2007""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3691,8"""
"""2007""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""99481,77"""
"""2007""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE CINEMAS LTDA.""";"""905421,04"""
"""2007""";"""RAI TRADE""";"""SYNAPSE PRODUÇÕES LTDA""";"""1135,29"""
"""2007""";"""ROISSY FILMS""";"""ANTONIO FERNANDES FILMES LTDA""";"""6809,37"""
"""2007""";"""SAS FILMS DISTRIBUTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3370,02"""
"""2007""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""89061,02"""
"""2007""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1453750,63"""
"""2007""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""VIDEOLAR S/A""";"""3569999,99"""
"""2007""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""3255000"""
"""2007""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""4378662,63"""
"""2007""";"""TF1 INTERNATIONAL""";"""ANTONIO FERNANDES FILMES LTDA""";"""34611,73"""
"""2007""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""1499440,04"""
"""2007""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""2742767,3"""
"""2007""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1995000"""
"""2007""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""VIDEOLAR S/A""";"""157500"""
"""2007""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""1642630,74"""
"""2007""";"""WARNER HOME VIDEO (BENELUX) BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""3212666,1"""
"""2006""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2480,93"""
"""2006""";"""BAVARIA MEDIA GMBH/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1464,96"""
"""2006""";"""BORSALINO SARL""";"""VIDEOLAR S/A""";"""20762,17"""
"""2006""";"""BUENA VISTA INTERNATIONAL, INC""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""983929,87"""
"""2006""";"""BUENA VISTA INTERNATIONAL, INC""";"""VIDEOLAR S/A""";"""12062268,34"""
"""2006""";"""CELLULOID DREAMS SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3024,53"""
"""2006""";"""CELLULOID DREAMS SAS""";"""ANTONIO FERNANDES FILMES LTDA""";"""38438,21"""
"""2006""";"""FREEWAY ENTERTAINMENT KFT""";"""CANNES PRODUÇÕES S/A""";"""350829,95"""
"""2006""";"""FREEWAY ENTERTAINMENT KFT""";"""VIDEOLAR S/A""";"""897421,05"""
"""2006""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""3304110,31"""
"""2006""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOLAR S/A""";"""165230,8"""
"""2006""";"""GAUMONT""";"""ANTONIO FERNANDES FILMES LTDA""";"""20477,84"""
"""2006""";"""GEM ENTERTAINMENT KFT""";"""NEW STAR DISTRIBUIDORA DE FILMES LTDA.""";"""8041,76"""
"""2006""";"""GEM ENTERTAINMENT KFT""";"""RJ PUBLICIDADE E DISTRIBUIÇÃO DE FITAS LTDA""";"""231218,11"""
"""2006""";"""GEM ENTERTAINMENT KFT""";"""SONOPRESS - RIMO DA AMAZÔNIA INDÚSTRIA E COMÉRCIO FONOGRÁFICA LTDA""";"""1769555,06"""
"""2006""";"""GEWILAND CORPORATION S.A.""";"""CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE""";"""61742,52"""
"""2006""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""1135679,77"""
"""2006""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""CANNES PRODUÇÕES S/A""";"""40990,08"""
"""2006""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""VIDEOLAR S/A""";"""110250"""
"""2006""";"""INVESTMENT MEDIA GROUP""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""19139,64"""
"""2006""";"""LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL""";"""ART FILMS S/A""";"""3965,47"""
"""2006""";"""LEDA FILMS S.A.""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""6254,43"""
"""2006""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""51027,5"""
"""2006""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE CINEMAS LTDA.""";"""876713,39"""
"""2006""";"""PASATIEMPO PICTURES LLC""";"""CANNES PRODUÇÕES S/A""";"""7410,83"""
"""2006""";"""ROISSY FILMS""";"""ANTONIO FERNANDES FILMES LTDA""";"""1801,8"""
"""2006""";"""SAS FILMS DISTRIBUTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1127,69"""
"""2006""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""57760,44"""
"""2006""";"""SONY CORPORATION OF AMERICA""";"""SONY PICTURES RELEASING OF BRASIL INC.""";"""36622,93"""
"""2006""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1324031,87"""
"""2006""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""VIDEOLAR S/A""";"""11340949,61"""
"""2006""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""5327819,68"""
"""2006""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""5773264,14"""
"""2006""";"""TF1 INTERNATIONAL""";"""ART FILMS S/A""";"""1037,14"""
"""2006""";"""TF1 INTERNATIONAL""";"""ANTONIO FERNANDES FILMES LTDA""";"""4489,79"""
"""2006""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""530950,79"""
"""2006""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""5375763,14"""
"""2006""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1365000"""
"""2006""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""336137,84"""
"""2006""";"""WARNER BROS. HOLLAND""";"""WARNER BROS. (SOUTH) INC.""";"""1359748,89"""
"""2006""";"""WARNER HOME VIDEO (BENELUX) BV""";"""VIDEOLAR S/A""";"""749746,04"""
"""2006""";"""WARNER HOME VIDEO (BENELUX) BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""2718027,68"""
"""2005""";"""ARMADA PICTURES INTERNATIONAL, LLC""";"""ANTONIO FERNANDES FILMES LTDA""";"""14813,47"""
"""2005""";"""BD CINESRL""";"""ART FILMS S/A""";"""1168,73"""
"""2005""";"""BUENA VISTA INTERNATIONAL, INC""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1257896,66"""
"""2005""";"""BUENA VISTA INTERNATIONAL, INC""";"""VIDEOLAR S/A""";"""12998640,75"""
"""2005""";"""CELLULOID DREAMS SAS""";"""ANTONIO FERNANDES FILMES LTDA""";"""11341,37"""
"""2005""";"""EBA FILMS INTERNATIONAL LTD""";"""EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A""";"""78758,63"""
"""2005""";"""ESR FILMS LTD""";"""CANNES PRODUÇÕES S/A""";"""80313,57"""
"""2005""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""ANTONIO FERNANDES FILMES LTDA""";"""3688,6"""
"""2005""";"""FD FILMS DISTRIBUTIONS""";"""ART FILMS S/A""";"""4674,82"""
"""2005""";"""FLACH PYRAMIDE INTERNATIONAL/ART FILMS""";"""ART FILMS S/A""";"""2390,34"""
"""2005""";"""FREEWAY ENTERTAINMENT KFT""";"""VIDEOLAR S/A""";"""1219165,56"""
"""2005""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""2617024,77"""
"""2005""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA""";"""97496,44"""
"""2005""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOLAR S/A""";"""268221,53"""
"""2005""";"""GAUMONT""";"""ANTONIO FERNANDES FILMES LTDA""";"""15208,61"""
"""2005""";"""GEM ENTERTAINMENT KFT""";"""NEW STAR DISTRIBUIDORA DE FILMES LTDA.""";"""6556,63"""
"""2005""";"""GEM ENTERTAINMENT KFT""";"""SONOPRESS - RIMO DA AMAZÔNIA INDÚSTRIA E COMÉRCIO FONOGRÁFICA LTDA""";"""144282,28"""
"""2005""";"""GEWILAND CORPORATION S.A.""";"""CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE""";"""36139,71"""
"""2005""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""273617,51"""
"""2005""";"""GLOBAL MEDIA PROPERTIES, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""423204,82"""
"""2005""";"""INVESTMENT MEDIA GROUP""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""45900,75"""
"""2005""";"""LEDA FILMS S.A.""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""39622,01"""
"""2005""";"""NONSTOP SALES AB""";"""ANTONIO FERNANDES FILMES LTDA""";"""5453,91"""
"""2005""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""363736,47"""
"""2005""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE CINEMAS LTDA.""";"""537370,03"""
"""2005""";"""PASATIEMPO PICTURES LLC""";"""CANNES PRODUÇÕES S/A""";"""26948,36"""
"""2005""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""44277,17"""
"""2005""";"""SOGEPAQ, S.A.""";"""ANTONIO FERNANDES FILMES LTDA""";"""4151,95"""
"""2005""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""186605"""
"""2005""";"""SONY CORPORATION OF AMERICA""";"""SONY PICTURES RELEASING OF BRASIL INC.""";"""1550605,44"""
"""2005""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""4284541,44"""
"""2005""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""5138823,53"""
"""2005""";"""TF1 INTERNATIONAL""";"""ANTONIO FERNANDES FILMES LTDA""";"""3388"""
"""2005""";"""TRUST FILM SALES2 APS""";"""ANTONIO FERNANDES FILMES LTDA""";"""24016,42"""
"""2005""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""1026421,97"""
"""2005""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""VIDEOLAR S/A""";"""10500"""
"""2005""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""6139580,38"""
"""2005""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1963500"""
"""2005""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""281276,8"""
"""2005""";"""WARNER BROS. HOLLAND""";"""VIDEOLAR S/A""";"""147000"""
"""2005""";"""WARNER BROS. HOLLAND""";"""WARNER BROS. (SOUTH) INC.""";"""2767191,39"""
"""2005""";"""WARNER HOME VIDEO (BENELUX) BV""";"""VIDEOLAR S/A""";"""4742697,77"""
"""2004""";"""BUENA VISTA INTERNATIONAL, INC""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""588509,99"""
"""2004""";"""BUENA VISTA INTERNATIONAL, INC""";"""TVSBT CANAL 4 DE SÃO PAULO S/A""";"""4490786,49"""
"""2004""";"""BUENA VISTA INTERNATIONAL, INC""";"""VIDEOLAR S/A""";"""10824375,27"""
"""2004""";"""CELLULOID DREAMS SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""6896,14"""
"""2004""";"""EBA FILMS INTERNATIONAL LTD""";"""EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A""";"""1374623,1"""
"""2004""";"""ESR FILMS LTD""";"""EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A""";"""39979,28"""
"""2004""";"""ESR FILMS LTD""";"""CANNES PRODUÇÕES S/A""";"""1028163,52"""
"""2004""";"""ESR FILMS LTD""";"""CONSORCIO EUROPA""";"""1139594,53"""
"""2004""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""13133,5"""
"""2004""";"""FLACH PYRAMIDE INTERNATIONAL/ART FILMS""";"""ART FILMS S/A""";"""10679,91"""
"""2004""";"""FORTISSIMO FILM SALES B.V.""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1907,91"""
"""2004""";"""FREEWAY ENTERTAINMENT KFT""";"""AB INTERNACIONAL ENTRETENIMENTO LTDA.""";"""128027,45"""
"""2004""";"""FREEWAY ENTERTAINMENT KFT""";"""VIDEOLAR S/A""";"""256294,32"""
"""2004""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""2010160,55"""
"""2004""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA""";"""173753,65"""
"""2004""";"""GAUMONT""";"""ART FILMS S/A""";"""960,12"""
"""2004""";"""GAUMONT""";"""ANTONIO FERNANDES FILMES LTDA""";"""3884,16"""
"""2004""";"""GEWILAND CORPORATION S.A.""";"""CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE""";"""26483,57"""
"""2004""";"""GLOBAL MEDIA PROPERTIES, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""325079,86"""
"""2004""";"""MAX FILMS INTERNATIONAL""";"""ART FILMS S/A""";"""1843,75"""
"""2004""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""70768,86"""
"""2004""";"""PASATIEMPO PICTURES LLC""";"""CANNES PRODUÇÕES S/A""";"""1285,7"""
"""2004""";"""PASATIEMPO PICTURES LLC""";"""CONSORCIO EUROPA""";"""21720,75"""
"""2004""";"""RAI TRADE""";"""ART FILMS S/A""";"""1262,1"""
"""2004""";"""ROISSY FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""5860,55"""
"""2004""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1335353,14"""
"""2004""";"""SONY CORPORATION OF AMERICA""";"""SONY PICTURES RELEASING OF BRASIL INC.""";"""2977551,53"""
"""2004""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""SONY PICTURES HOME ENTERTAINMENT DO BRASIL LTDA""";"""1995219,73"""
"""2004""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""2680374,18"""
"""2004""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""5162870,96"""
"""2004""";"""TF1 INTERNATIONAL""";"""ART FILMS S/A""";"""15150,76"""
"""2004""";"""TRUST FILM SALES2 APS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""5058,06"""
"""2004""";"""TRUST FILM SALES2 APS""";"""ANTONIO FERNANDES FILMES LTDA""";"""16034,71"""
"""2004""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""914878,49"""
"""2004""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""VIDEOLAR S/A""";"""7350"""
"""2004""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""4888813,76"""
"""2004""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""PARAMOUNT HOME ENTERTAINMENT (BRAZIL) LTDA.""";"""41313,54"""
"""2004""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1510782,53"""
"""2004""";"""WARNER BROS. DISTRIBUTING INC.""";"""TVSBT CANAL 4 DE SÃO PAULO S/A""";"""234893,94"""
"""2004""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""1834383,92"""
"""2004""";"""WARNER BROS. HOLLAND""";"""WARNER BROS. (SOUTH) INC.""";"""2116638,61"""
"""2004""";"""WARNER HOME VIDEO (BENELUX) BV""";"""VIDEOLAR S/A""";"""1050405,3"""
"""2003""";"""BAVARIA MEDIA GMBH/ ART FILMS""";"""ART FILMS S/A""";"""251,5"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""TV ALPHAVILLE SISTEMA DE TELEVISAO POR ASSINATURA LTDA.""";"""577,8"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""WAY TV BELO HORIZONTE S.A.""";"""825,36"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""MMDSC COMUNICAÇÕES S/A""";"""3379,74"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""TVA SUL PARANÁ LTDA""";"""3564,11"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""TVA SISTEMA DE TELEVISÃO S.A""";"""56309,1"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""2144325,37"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""TVSBT CANAL 4 DE SÃO PAULO S/A""";"""2287640,1"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""VIDEOLAR S/A""";"""7972996,81"""
"""2003""";"""EBA FILMS INTERNATIONAL LTD""";"""EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A""";"""2109830,49"""
"""2003""";"""ECG WORLDWIDE""";"""ART FILMS S/A""";"""2453,5"""
"""2003""";"""ESR FILMS LTD""";"""CONSORCIO EUROPA""";"""2892620,83"""
"""2003""";"""FLACH PYRAMIDE INTERNATIONAL/ART FILMS""";"""ART FILMS S/A""";"""7199,29"""
"""2003""";"""FORTISSIMO FILM SALES B.V.""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4648,8"""
"""2003""";"""FREEWAY ENTERTAINMENT KFT""";"""AB INTERNACIONAL ENTRETENIMENTO LTDA.""";"""364556,15"""
"""2003""";"""GEWILAND CORPORATION S.A.""";"""CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE""";"""18504,71"""
"""2003""";"""GLOBAL MEDIA PROPERTIES, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""148255,37"""
"""2003""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""6274,55"""
"""2003""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""113025,79"""
"""2003""";"""PASATIEMPO PICTURES LLC""";"""CONSORCIO EUROPA""";"""30950,22"""
"""2003""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1188734,46"""
"""2003""";"""SONY CORPORATION OF AMERICA""";"""SONY PICTURES RELEASING OF BRASIL INC.""";"""2379670,17"""
"""2003""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""SONY PICTURES HOME ENTERTAINMENT DO BRASIL LTDA""";"""1827932,5"""
"""2003""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""2403566,9"""
"""2003""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""3943713,77"""
